,Term
0,summari
1,risk
2,manag
3,identification 
4,evaluation 
5,priorit
6,risk
7, defin
8,iso
9,31000
10,effect
11,uncertainti
12,objectives 
13,follow
14,coordin
15,econom
16,applic
17,resourc
18,minimize 
19,monitor 
20,control
21,probabl
22,impact
23,unfortun
24,event
25,maxim
26,realiz
27,opportunities 
28,risk
29,come
30,variou
31,sourc
32,includ
33,uncertainti
34,financi
35,markets 
36,threat
37,project
38,failur
39, at
40,phase
41,design 
42,development 
43,production 
44,sustain
45,life cycles  
46,legal
47,liabilities 
48,credit
49,risk 
50,accidents 
51,natur
52,caus
53,disasters 
54,deliber
55,attack
56,adversary 
57,event
58,uncertain
59,unpredict
60,root cause 
61,there
62,two
63,type
64,event
65,i e 
66,neg
67,event
68,classifi
69,risk
70,posit
71,event
72,classifi
73,opportunities 
74,sever
75,risk
76,manag
77,standard
78,develop
79,includ
80,project
81,manag
82,institute 
83,nation
84,institut
85,standard
86,technology 
87,actuari
88,societies 
89,iso
90,standards 
91,methods 
92,definit
93,goal
94,vari
95,wide
96,accord
97,whether
98,risk
99,manag
100,method
101,context
102,project
103,management 
104,security 
105,engineering 
106,industri
107,processes 
108,financi
109,portfolios 
110,actuari
111,assessments 
112,public
113,health
114,safety 
115,strategi
116,manag
117,threat
118, uncertainti
119,neg
120,consequences 
121,typic
122,includ
123,avoid
124,threat 
125,reduc
126,neg
127,effect
128,probabl
129,threat 
130,transfer
131,part
132,threat
133,anoth
134,party 
135,even
136,retain
137,potenti
138,actual
139,consequ
140,particular
141,threat 
142,opposit
143,opportun
144, uncertain
145,futur
146,state
147,benefits  
148,certain
149,aspect
150,mani
151,risk
152,manag
153,standard
154,come
155,critic
156,measur
157,improv
158,risk 
159,wherea
160,confid
161,estim
162,decis
163,seem
164,increase 
165,for
166,example 
167,one
168,studi
169,found
170,one
171,six
172,it
173,project
174, black
175,swans 
176,gigant
177,overrun
178, cost
179,overrun
180,averag
181,200  
182,schedul
183,overrun
184,70   
185,method
186,for
187,part 
188,method
189,consist
190,follow
191,elements 
192,performed 
193,less 
194,follow
195,order 
196,identify 
197,character
198,threat
199,assess
200,vulner
201,critic
202,asset
203,specif
204,threat
205,determin
206,risk
207, i e 
208,expect
209,likelihood
210,consequ
211,specif
212,type
213,attack
214,specif
215,assets 
216,identifi
217,way
218,reduc
219,risk
220,priorit
221,risk
222,reduct
223,measur
224,principl
225,the
226,intern
227,organ
228,standard
229, iso 
230,identifi
231,follow
232,principl
233,risk
234,management risk
235,manag
236,should 
237,creat
238,valu
239, 
240,resourc
241,expend
242,mitig
243,risk
244,less
245,consequ
246,inact
247,integr
248,part
249,organiz
250,process
251,part
252,decis
253,make
254,process
255,explicitli
256,address
257,uncertainti
258,assumpt
259,systemat
260,structur
261,process
262,base
263,best
264,avail
265,inform
266,tailor
267,take
268,human
269,factor
270,account
271,transpar
272,inclus
273,dynamic 
274,iter
275,respons
276,chang
277,capabl
278,continu
279,improv
280,enhanc
281,continu
282,period
283,re assess
284,process
285,accord
286,standard
287,iso
288,31000
289, risk
290,manag
291, 
292,principl
293,guidelin
294,implementation  
295,process
296,risk
297,manag
298,consist
299,sever
300,step
301,follows 
302,establish
303,context
304,thi
305,involves 
306,social
307,scope
308,risk
309,manag
310,ident
311,object
312,stakehold
313,basi
314,upon
315,risk
316,evaluated 
317,constraints 
318,defin
319,framework
320,activ
321,agenda
322,identif
323,develop
324,analysi
325,risk
326,involv
327,process
328,mitig
329,solut
330,risk
331,use
